,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
72,"Hong Kong SAR, China",HKG,5.58,4.01,3.56,4.33,3.29,3.3,Asia,Eastern Asia,3.78,-2.02,-0.77,0.27,0.26000000000000023
73,Hungary,HUN,7.19,7.41,7.82,11.17,11.0,7.73,Europe,Eastern Europe,7.62,0.6299999999999999,-3.3499999999999996,-3.1799999999999997,0.08999999999999986
74,Iceland,ISL,2.55,2.25,2.95,7.56,6.0,4.9,Europe,Northern Europe,2.6,0.40000000000000036,-4.609999999999999,-3.05,-1.9500000000000002
75,India,IND,5.61,5.57,5.41,5.55,5.41,5.44,Asia,Southern Asia,5.49,-0.20000000000000018,-0.13999999999999968,0.0,-0.03000000000000025
76,Indonesia,IDN,7.94,8.06,7.21,5.61,4.47,4.05,Asia,South-Eastern Asia,7.64,-0.7300000000000004,1.5999999999999996,2.74,3.16
77,"Iran, Islamic Rep.",IRN,11.81,10.77,10.63,13.68,12.27,10.68,Asia,Southern Asia,10.7,-1.1799999999999997,-3.049999999999999,-1.6399999999999988,-0.049999999999998934
78,Iraq,IRQ,8.71,8.65,8.48,8.25,7.96,10.59,Asia,Western Asia,8.57,-0.23000000000000043,0.23000000000000043,0.5200000000000005,-2.1099999999999994
79,Ireland,IRL,4.34,4.98,6.77,14.53,15.45,11.86,Europe,Northern Europe,5.88,2.4299999999999997,-7.76,-8.68,-5.09
80,Israel,ISR,11.34,9.38,7.7,8.48,6.86,5.89,Asia,Western Asia,8.54,-3.6399999999999997,-0.7800000000000002,0.8399999999999999,1.8100000000000005
81,Italy,ITA,7.73,6.08,6.72,8.36,10.65,12.68,Europe,Southern Europe,6.4,-1.0100000000000007,-1.6399999999999997,-3.9300000000000006,-5.96
82,Jamaica,JAM,11.26,9.75,10.59,12.37,13.93,13.74,Americas,Caribbean,10.17,-0.6699999999999999,-1.7799999999999994,-3.34,-3.1500000000000004
